usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,list_price_usd,cost_type,inference_geo,speed,api_key_id,api_key_status
2026-07-01,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,1.73,1.73,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-01,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.5,0.5,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-02,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,3.84,3.84,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-02,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.79,0.79,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-03,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,4.45,4.45,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-03,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,10.01,10.01,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-03,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,0.5,0.5,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-03,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,1.02,1.02,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-04,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,4.27,4.27,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-04,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.63,0.63,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-05,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,3.62,3.62,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-05,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.66,0.66,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-06,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,1.65,1.65,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-06,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,2.71,2.71,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-06,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.87,0.87,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-07,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,4.06,4.06,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-07,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.83,0.83,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-08,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,3.23,3.23,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-08,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,0.29,0.29,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-08,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.64,0.64,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-09,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,4.45,4.45,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-09,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.26,0.26,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-09,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.51,0.51,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-10,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,2.53,2.53,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-10,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.63,0.63,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-11,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,2.76,2.76,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-11,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,0.78,0.78,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-11,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.65,0.65,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-12,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,4.93,4.93,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-12,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.6,0.6,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-13,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,1.84,1.84,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-13,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.45,0.45,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-14,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,1.69,1.69,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-14,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.37,0.37,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-15,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,0.82,0.82,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-15,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,0.95,0.95,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-15,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.4,0.4,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-16,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,5.9,5.9,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-16,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.48,0.48,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-17,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,1.24,1.24,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
